OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;FECHA_EJECUCION;nivel_numero
97;ANDINA;HUILA;SUAZA;41770;Baja;29.7;56.5;23.0;06/08/2026;1
98;ANDINA;HUILA;TIMANÁ;41807;Baja;19.8;39.8;23.0;06/08/2026;1
99;CARIBE;LA GUAJIRA;SAN JUAN DEL CESAR;44650;Baja;25.5;34.8;10.0;06/08/2026;1
100;CARIBE;LA GUAJIRA;URUMITA;44855;Baja;50.1;50.6;12.0;06/08/2026;1
101;CARIBE;MAGDALENA;ARACATACA;47053;Baja;35.1;43.4;13.0;06/08/2026;1
102;CARIBE;MAGDALENA;FUNDACIÓN;47288;Baja;33.8;42.0;13.0;06/08/2026;1
103;ORINOQUÍA;META;LEJANÍAS;50400;Baja;22.1;86.9;27.0;06/08/2026;1
104;ORINOQUÍA;META;MESETAS;50330;Baja;23.0;86.3;27.0;06/08/2026;1
105;ORINOQUÍA;META;URIBE;50370;Baja;14.6;40.4;21.0;06/08/2026;1
106;ORINOQUÍA;META;VISTAHERMOSA;50711;Baja;18.6;84.4;26.0;06/08/2026;1
107;ANDINA;NORTE DE SANTANDER;SARDINATA;54720;Baja;-;-;-;06/08/2026;1
108;ANDINA;NORTE DE SANTANDER;TIBÚ;54810;Baja;-;-;-;06/08/2026;1
109;AMAZONÍA;PUTUMAYO;PUERTO GUZMÁN;86571;Baja;-;-;-;06/08/2026;1
110;AMAZONÍA;PUTUMAYO;SANTIAGO;86760;Baja;11.8;71.0;30.0;06/08/2026;1
111;AMAZONÍA;PUTUMAYO;SIBUNDOY;86749;Baja;16.6;68.2;30.0;06/08/2026;1
112;ANDINA;SANTANDER;AGUADA;68013;Baja;-;-;-;06/08/2026;1
113;ANDINA;SANTANDER;CHIMA;68176;Baja;23.9;114.8;20.0;06/08/2026;1
114;ANDINA;SANTANDER;EL GUACAMAYO;68245;Baja;-;-;-;06/08/2026;1
115;ANDINA;SANTANDER;GUADALUPE;68320;Baja;18.7;102.1;22.0;06/08/2026;1
116;ANDINA;SANTANDER;LA PAZ;68397;Baja;-;-;-;06/08/2026;1
117;ANDINA;SANTANDER;RIONEGRO;68615;Baja;-;-;-;06/08/2026;1
118;ANDINA;SANTANDER;SANTA HELENA DEL OPÓN;68720;Baja;14.8;115.8;22.0;06/08/2026;1
119;ANDINA;SANTANDER;SIMACOTA;68745;Baja;19.0;45.5;20.0;06/08/2026;1
120;PACÍFICO;VALLE DEL CAUCA;CALIMA;76126;Baja;13.9;41.4;16.0;06/08/2026;1
121;PACÍFICO;VALLE DEL CAUCA;DAGUA;76233;Baja;5.6;13.6;19.0;06/08/2026;1
122;ANDINA;ANTIOQUIA;AMALFI;05031;Moderada;39.1;63.4;18.0;06/08/2026;2
123;ANDINA;ANTIOQUIA;ANORÍ;05040;Moderada;51.6;92.0;19.0;06/08/2026;2
124;ANDINA;ANTIOQUIA;ARGELIA;05055;Moderada;18.7;20.3;17.0;06/08/2026;2
125;ANDINA;ANTIOQUIA;CAMPAMENTO;05134;Moderada;39.9;99.5;19.0;06/08/2026;2
126;ANDINA;ANTIOQUIA;CAREPA;05147;Moderada;74.5;123.6;25.0;06/08/2026;2
127;ANDINA;ANTIOQUIA;CHIGORODÓ;05172;Moderada;71.8;122.2;25.0;06/08/2026;2
128;ANDINA;ANTIOQUIA;CISNEROS;05190;Moderada;54.6;80.5;20.0;06/08/2026;2
129;ANDINA;ANTIOQUIA;CÁCERES;05120;Moderada;52.4;74.3;19.0;06/08/2026;2
130;ANDINA;ANTIOQUIA;EL BAGRE;05250;Moderada;30.9;70.7;16.0;06/08/2026;2
131;ANDINA;ANTIOQUIA;GÓMEZ PLATA;05310;Moderada;53.1;57.9;20.0;06/08/2026;2
132;ANDINA;ANTIOQUIA;ITUANGO;05361;Moderada;36.3;46.2;20.0;06/08/2026;2
133;ANDINA;ANTIOQUIA;MARINILLA;05440;Moderada;44.5;58.0;17.0;06/08/2026;2
134;ANDINA;ANTIOQUIA;MUTATÁ;05480;Moderada;47.2;82.3;23.0;06/08/2026;2
135;ANDINA;ANTIOQUIA;NECHÍ;05495;Moderada;18.4;51.8;16.0;06/08/2026;2
136;ANDINA;ANTIOQUIA;PUERTO TRIUNFO;05591;Moderada;63.5;73.5;16.0;06/08/2026;2
137;ANDINA;ANTIOQUIA;SAN PEDRO DE URABÁ;05665;Moderada;43.9;78.6;21.0;06/08/2026;2
138;ANDINA;ANTIOQUIA;TARAZÁ;05790;Moderada;47.8;70.9;20.0;06/08/2026;2
139;ANDINA;ANTIOQUIA;VALDIVIA;05854;Moderada;49.1;77.4;20.0;06/08/2026;2
140;ANDINA;ANTIOQUIA;YOLOMBÓ;05890;Moderada;36.6;51.0;19.0;06/08/2026;2
141;ANDINA;ANTIOQUIA;ZARAGOZA;05895;Moderada;40.5;71.5;17.0;06/08/2026;2
142;ORINOQUÍA;ARAUCA;SARAVENA;81736;Moderada;19.1;54.3;27.0;06/08/2026;2
143;CARIBE;BOLÍVAR;MONTECRISTO;13458;Moderada;37.0;52.1;15.0;06/08/2026;2
144;CARIBE;BOLÍVAR;SANTA ROSA DEL SUR;13688;Moderada;46.4;58.5;15.0;06/08/2026;2
145;ANDINA;BOYACÁ;CAMPOHERMOSO;15135;Moderada;16.4;93.5;30.0;06/08/2026;2
146;ANDINA;BOYACÁ;CHIVOR;15236;Moderada;26.9;77.8;26.0;06/08/2026;2
147;ANDINA;BOYACÁ;MACANAL;15425;Moderada;16.2;87.9;26.0;06/08/2026;2
148;ANDINA;BOYACÁ;PAJARITO;15518;Moderada;26.8;108.0;30.0;06/08/2026;2
149;ANDINA;BOYACÁ;PISBA;15550;Moderada;38.7;59.9;26.0;06/08/2026;2
150;ANDINA;BOYACÁ;PÁEZ;15514;Moderada;18.6;87.5;30.0;06/08/2026;2
151;ANDINA;BOYACÁ;SAN LUIS DE GACENO;15667;Moderada;42.8;144.6;30.0;06/08/2026;2
152;ANDINA;CALDAS;NORCASIA;17495;Moderada;64.7;85.3;13.0;06/08/2026;2
153;ANDINA;CALDAS;SAMANÁ;17662;Moderada;37.9;47.3;11.0;06/08/2026;2
154;AMAZONÍA;CAQUETÁ;BELÉN DE LOS ANDAQUÍES;18094;Moderada;38.0;114.6;28.0;06/08/2026;2
155;AMAZONÍA;CAQUETÁ;EL DONCELLO;18247;Moderada;31.6;78.6;23.0;06/08/2026;2
156;AMAZONÍA;CAQUETÁ;EL PAUJÍL;18256;Moderada;38.6;112.6;27.0;06/08/2026;2
157;AMAZONÍA;CAQUETÁ;FLORENCIA;18001;Moderada;31.9;76.6;25.0;06/08/2026;2
158;AMAZONÍA;CAQUETÁ;LA MONTAÑITA;18410;Moderada;35.6;119.0;29.0;06/08/2026;2
159;AMAZONÍA;CAQUETÁ;MORELIA;18479;Moderada;37.3;133.9;28.0;06/08/2026;2
160;AMAZONÍA;CAQUETÁ;SAN JOSÉ DEL FRAGUA;18610;Moderada;21.8;92.6;29.0;06/08/2026;2
161;ORINOQUÍA;CASANARE;HATO COROZAL;85125;Moderada;9.6;72.0;23.0;06/08/2026;2
162;ORINOQUÍA;CASANARE;MONTERREY;85162;Moderada;38.6;81.9;29.0;06/08/2026;2
163;ORINOQUÍA;CASANARE;SABANALARGA;85300;Moderada;56.8;143.5;29.0;06/08/2026;2
164;ORINOQUÍA;CASANARE;SÁCAMA;85315;Moderada;20.9;52.0;24.0;06/08/2026;2
165;ORINOQUÍA;CASANARE;TÁMARA;85400;Moderada;32.6;59.7;24.0;06/08/2026;2
166;ORINOQUÍA;CASANARE;YOPAL;85001;Moderada;24.4;34.9;25.0;06/08/2026;2
167;PACÍFICO;CAUCA;PIAMONTE;19533;Moderada;12.6;121.6;29.0;06/08/2026;2
168;PACÍFICO;CAUCA;SANTA ROSA;19701;Moderada;13.2;61.8;26.0;06/08/2026;2
169;CARIBE;CESAR;VALLEDUPAR;20001;Moderada;20.1;26.7;10.0;06/08/2026;2
170;PACÍFICO;CHOCÓ;ACANDÍ;27006;Moderada;67.3;97.9;24.0;06/08/2026;2
171;PACÍFICO;CHOCÓ;CARMEN DEL DARIÉN;27150;Moderada;54.6;84.3;23.0;06/08/2026;2
172;PACÍFICO;CHOCÓ;CÉRTEGUI;27160;Moderada;71.9;169.6;26.0;06/08/2026;2
173;PACÍFICO;CHOCÓ;JURADÓ;27372;Moderada;59.4;101.0;25.0;06/08/2026;2
174;PACÍFICO;CHOCÓ;RIOSUCIO;27615;Moderada;68.0;113.4;25.0;06/08/2026;2
175;PACÍFICO;CHOCÓ;UNGUÍA;27800;Moderada;80.3;122.6;25.0;06/08/2026;2
176;ANDINA;CUNDINAMARCA;CÁQUEZA;25151;Moderada;15.5;33.3;28.0;06/08/2026;2
177;ANDINA;CUNDINAMARCA;FOSCA;25281;Moderada;19.1;22.8;28.0;06/08/2026;2
178;ANDINA;CUNDINAMARCA;FÓMEQUE;25279;Moderada;20.6;43.7;29.0;06/08/2026;2
179;ANDINA;CUNDINAMARCA;GACHALÁ;25293;Moderada;36.4;130.2;30.0;06/08/2026;2
180;ANDINA;CUNDINAMARCA;GAMA;25299;Moderada;28.7;99.0;29.0;06/08/2026;2
181;ANDINA;CUNDINAMARCA;GUTIÉRREZ;25339;Moderada;17.8;21.6;27.0;06/08/2026;2
182;ANDINA;CUNDINAMARCA;JUNÍN;25372;Moderada;19.5;59.7;29.0;06/08/2026;2
183;ANDINA;CUNDINAMARCA;PARATEBUENO;25530;Moderada;47.8;101.3;28.0;06/08/2026;2
184;ANDINA;CUNDINAMARCA;UBALÁ;25839;Moderada;34.0;115.5;29.0;06/08/2026;2
185;CARIBE;CÓRDOBA;SAN JOSÉ DE URÉ;23682;Moderada;38.4;92.2;19.0;06/08/2026;2
186;CARIBE;CÓRDOBA;TIERRALTA;23807;Moderada;37.5;82.7;24.0;06/08/2026;2
187;CARIBE;CÓRDOBA;VALENCIA;23855;Moderada;43.0;93.1;23.0;06/08/2026;2
188;ANDINA;HUILA;ACEVEDO;41006;Moderada;33.6;87.6;27.0;06/08/2026;2
189;ANDINA;HUILA;PITALITO;41551;Moderada;29.3;93.5;26.0;06/08/2026;2
190;ANDINA;HUILA;SAN AGUSTÍN;41668;Moderada;19.4;45.0;25.0;06/08/2026;2
191;ORINOQUÍA;META;ACACÍAS;50006;Moderada;41.8;130.7;29.0;06/08/2026;2
192;ORINOQUÍA;META;BARRANCA DE UPÍA;50110;Moderada;24.4;76.1;28.0;06/08/2026;2
193;ORINOQUÍA;META;CUBARRAL;50223;Moderada;13.8;59.5;28.0;06/08/2026;2
194;ORINOQUÍA;META;CUMARAL;50226;Moderada;40.0;99.4;28.0;06/08/2026;2
195;ORINOQUÍA;META;EL CALVARIO;50245;Moderada;45.6;125.8;29.0;06/08/2026;2
196;ORINOQUÍA;META;EL CASTILLO;50251;Moderada;18.9;77.0;27.0;06/08/2026;2
197;ORINOQUÍA;META;GUAMAL;50318;Moderada;23.4;69.7;28.0;06/08/2026;2
198;ORINOQUÍA;META;LA MACARENA;50350;Moderada;42.9;118.6;24.0;06/08/2026;2
199;ORINOQUÍA;META;SAN JUAN DE ARAMA;50683;Moderada;23.0;82.7;27.0;06/08/2026;2
200;ORINOQUÍA;META;SAN JUANITO;50686;Moderada;46.6;125.7;29.0;06/08/2026;2
201;PACÍFICO;NARIÑO;BARBACOAS;52079;Moderada;32.9;56.6;28.0;06/08/2026;2
202;PACÍFICO;NARIÑO;EL CHARCO;52250;Moderada;30.2;51.8;19.0;06/08/2026;2
203;PACÍFICO;NARIÑO;FRANCISCO PIZARRO;52520;Moderada;39.8;236.7;26.0;06/08/2026;2
204;PACÍFICO;NARIÑO;MAGÜÍ;52427;Moderada;32.8;66.0;26.0;06/08/2026;2
205;PACÍFICO;NARIÑO;ROBERTO PAYÁN;52621;Moderada;29.8;129.9;28.0;06/08/2026;2
206;PACÍFICO;NARIÑO;SAN ANDRÉS DE TUMACO;52835;Moderada;32.2;95.3;28.0;06/08/2026;2
207;PACÍFICO;NARIÑO;SANTA BÁRBARA;52696;Moderada;40.2;66.8;21.0;06/08/2026;2
208;AMAZONÍA;PUTUMAYO;ORITO;86320;Moderada;4.5;46.6;28.0;06/08/2026;2
209;AMAZONÍA;PUTUMAYO;VILLAGARZÓN;86885;Moderada;15.3;125.1;29.0;06/08/2026;2
210;ANDINA;SANTANDER;CONTRATACIÓN;68211;Moderada;16.8;137.0;21.0;06/08/2026;2
