OBJECTID;REGION;DEPTO;GEOGRAPHIC;COD_DANE;TEXTO_AMENAZA;FECHA_EJECUCION;ACUMULADO_TRES;ACUMULADO_DIEZ;DIAS_LLUVIA;nivel_numero
102;ANDINA;BOYACÁ;SANTA MARÍA;15690;Baja;06/09/2026;14.1;148.0;29.0;1
103;ANDINA;BOYACÁ;SOCOTÁ;15755;Baja;06/09/2026;15.5;30.8;23.0;1
104;ANDINA;BOYACÁ;SOMONDOCO;15761;Baja;06/09/2026;13.0;102.8;28.0;1
105;ANDINA;BOYACÁ;ZETAQUIRA;15897;Baja;06/09/2026;10.6;75.0;30.0;1
106;AMAZONÍA;CAQUETÁ;EL DONCELLO;18247;Baja;06/09/2026;16.5;101.9;23.0;1
107;AMAZONÍA;CAQUETÁ;PUERTO RICO;18592;Baja;06/09/2026;15.3;53.4;20.0;1
108;CARIBE;CESAR;PUEBLO BELLO;20570;Baja;06/09/2026;17.3;85.6;21.0;1
109;ANDINA;CUNDINAMARCA;CÁQUEZA;25151;Baja;06/09/2026;3.4;52.5;29.0;1
110;ANDINA;CUNDINAMARCA;GACHETÁ;25297;Baja;06/09/2026;12.3;112.3;29.0;1
111;CARIBE;CÓRDOBA;MONTELÍBANO;23466;Baja;06/09/2026;20.1;131.7;20.0;1
112;CARIBE;CÓRDOBA;PLANETA RICA;23555;Baja;06/09/2026;27.9;128.4;18.0;1
113;CARIBE;CÓRDOBA;VALENCIA;23855;Baja;06/09/2026;31.7;95.5;19.0;1
114;ANDINA;HUILA;ACEVEDO;41006;Baja;06/09/2026;16.1;68.2;28.0;1
115;CARIBE;LA GUAJIRA;HATONUEVO;44378;Baja;06/09/2026;-;-;-;1
116;CARIBE;MAGDALENA;ARACATACA;47053;Baja;06/09/2026;27.1;71.4;18.0;1
117;CARIBE;MAGDALENA;CIÉNAGA;47189;Baja;06/09/2026;29.1;48.7;18.0;1
118;CARIBE;MAGDALENA;FUNDACIÓN;47288;Baja;06/09/2026;24.6;71.7;19.0;1
119;ORINOQUÍA;META;EL DORADO;50270;Baja;06/09/2026;14.4;118.3;24.0;1
120;ORINOQUÍA;META;SAN JUAN DE ARAMA;50683;Baja;06/09/2026;10.6;112.4;25.0;1
121;ORINOQUÍA;META;URIBE;50370;Baja;06/09/2026;26.1;74.3;21.0;1
122;PACÍFICO;NARIÑO;RICAURTE;52612;Baja;06/09/2026;15.0;61.6;26.0;1
123;ANDINA;NORTE DE SANTANDER;CONVENCIÓN;54206;Baja;06/09/2026;15.0;41.2;15.0;1
124;ANDINA;NORTE DE SANTANDER;TEORAMA;54800;Baja;06/09/2026;15.0;39.4;16.0;1
125;ANDINA;NORTE DE SANTANDER;TIBÚ;54810;Baja;06/09/2026;21.7;47.8;16.0;1
126;AMAZONÍA;PUTUMAYO;COLÓN;86219;Baja;06/09/2026;17.3;72.8;30.0;1
127;AMAZONÍA;PUTUMAYO;SANTIAGO;86760;Baja;06/09/2026;18.8;76.4;30.0;1
128;AMAZONÍA;PUTUMAYO;SIBUNDOY;86749;Baja;06/09/2026;25.2;111.5;30.0;1
129;AMAZONÍA;PUTUMAYO;VILLAGARZÓN;86885;Baja;06/09/2026;20.3;65.1;27.0;1
130;ANDINA;SANTANDER;EL PLAYÓN;68255;Baja;06/09/2026;-;-;-;1
131;CARIBE;SUCRE;CHALÁN;70230;Baja;06/09/2026;45.6;56.6;13.0;1
132;CARIBE;SUCRE;COLOSÓ;70204;Baja;06/09/2026;56.2;70.1;13.0;1
133;CARIBE;SUCRE;SAN JOSÉ DE TOLUVIEJO;70823;Baja;06/09/2026;47.1;69.1;13.0;1
134;ANDINA;ANTIOQUIA;AMALFI;05031;Moderada;06/09/2026;21.6;138.6;26.0;2
135;ANDINA;ANTIOQUIA;ANDES;05034;Moderada;06/09/2026;28.7;67.4;18.0;2
