divipola,municipio,departamento,fuente
20517,PAILITAS,CESAR,sala_crisis
20550,PELAYA,CESAR,sala_crisis
20770,SAN MARTÍN,CESAR,sala_crisis
44090,DIBULLA,LA GUAJIRA,sala_crisis
47541,PEDRAZA,MAGDALENA,sala_crisis
47161,CERRO DE SAN ANTONIO,MAGDALENA,sala_crisis
47268,EL RETÉN,MAGDALENA,sala_crisis
47545,PIJIÑO DEL CARMEN,MAGDALENA,sala_crisis
47570,PUEBLOVIEJO,MAGDALENA,sala_crisis
47703,SAN ZENÓN,MAGDALENA,sala_crisis
15090,BERBEO,BOYACÁ,sala_crisis
15106,BRICEÑO,BOYACÁ,sala_crisis
15135,CAMPOHERMOSO,BOYACÁ,sala_crisis
15185,CHITARAQUE,BOYACÁ,sala_crisis
15189,CIÉNEGA,BOYACÁ,sala_crisis
15212,COPER,BOYACÁ,sala_crisis
15550,PISBA,BOYACÁ,sala_crisis
15244,EL COCUY,BOYACÁ,sala_crisis
15317,GUACAMAYAS,BOYACÁ,sala_crisis
15442,MARIPÍ,BOYACÁ,sala_crisis
15660,SAN EDUARDO,BOYACÁ,sala_crisis
15686,SANTANA,BOYACÁ,sala_crisis
15723,SATIVASUR,BOYACÁ,sala_crisis
15832,TUNUNGUÁ,BOYACÁ,sala_crisis
25312,GRANADA,CUNDINAMARCA,sala_crisis
25438,MEDINA,CUNDINAMARCA,sala_crisis
25653,SAN CAYETANO,CUNDINAMARCA,sala_crisis
25777,SUPATÁ,CUNDINAMARCA,sala_crisis
54553,PUERTO SANTANDER,NORTE DE SANTANDER,sala_crisis
54670,SAN CALIXTO,NORTE DE SANTANDER,sala_crisis
54680,SANTIAGO,NORTE DE SANTANDER,sala_crisis
54720,SARDINATA,NORTE DE SANTANDER,sala_crisis
54874,VILLA DEL ROSARIO,NORTE DE SANTANDER,sala_crisis
50450,PUERTO CONCORDIA,META,sala_crisis
50686,SAN JUANITO,META,sala_crisis
68132,CALIFORNIA,SANTANDER,sala_crisis
68160,CEPITÁ,SANTANDER,sala_crisis
68169,CHARTA,SANTANDER,sala_crisis
68179,CHIPATÁ,SANTANDER,sala_crisis
68780,SURATÁ,SANTANDER,sala_crisis
68370,JORDÁN,SANTANDER,sala_crisis
68397,LA PAZ,SANTANDER,sala_crisis
68502,ONZAGA,SANTANDER,sala_crisis
68522,PALMAR,SANTANDER,sala_crisis
68572,PUENTE NACIONAL,SANTANDER,sala_crisis
68271,FLORIÁN,SANTANDER,sala_crisis
68320,GUADALUPE,SANTANDER,sala_crisis
73347,HERVEO,TOLIMA,sala_crisis
73671,SALDAÑA,TOLIMA,sala_crisis
73686,SANTA ISABEL,TOLIMA,sala_crisis
05631,SABANETA,ANTIOQUIA,sala_crisis
18001,FLORENCIA,CAQUETÁ,dane
18029,ALBANIA,CAQUETÁ,dane
18094,BELÉN DE LOS ANDAQUÍES,CAQUETÁ,dane
18247,EL DONCELLO,CAQUETÁ,dane
18256,EL PAUJÍL,CAQUETÁ,dane
18410,LA MONTAÑITA,CAQUETÁ,dane
18460,MILÁN,CAQUETÁ,dane
18479,MORELIA,CAQUETÁ,dane
18610,SAN JOSÉ DEL FRAGUA,CAQUETÁ,dane
18860,VALPARAÍSO,CAQUETÁ,dane
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,dane
18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,dane
18756,SOLANO,CAQUETÁ,dane
18785,SOLITA,CAQUETÁ,dane
18205,CURILLO,CAQUETÁ,dane
18592,PUERTO RICO,CAQUETÁ,dane
19001,POPAYÁN,CAUCA,dane
19022,ALMAGUER,CAUCA,dane
19050,ARGELIA,CAUCA,dane
19075,BALBOA,CAUCA,dane
19100,BOLÍVAR,CAUCA,dane
19110,BUENOS AIRES,CAUCA,dane
19130,CAJIBÍO,CAUCA,dane
19137,CALDONO,CAUCA,dane
19142,CALOTO,CAUCA,dane
19212,CORINTO,CAUCA,dane
19290,FLORENCIA,CAUCA,dane
19300,GUACHENÉ,CAUCA,dane
19355,INZÁ,CAUCA,dane
19364,JAMBALÓ,CAUCA,dane
19392,LA SIERRA,CAUCA,dane
19397,LA VEGA,CAUCA,dane
19450,MERCADERES,CAUCA,dane
19455,MIRANDA,CAUCA,dane
19473,MORALES,CAUCA,dane
19513,PADILLA,CAUCA,dane
19517,PÁEZ,CAUCA,dane
19532,PATÍA,CAUCA,dane
19533,PIAMONTE,CAUCA,dane
19548,PIENDAMÓ - TUNÍA,CAUCA,dane
19573,PUERTO TEJADA,CAUCA,dane
19585,PURACÉ,CAUCA,dane
19622,ROSAS,CAUCA,dane
19693,SAN SEBASTIÁN,CAUCA,dane
19698,SANTANDER DE QUILICHAO,CAUCA,dane
19701,SANTA ROSA,CAUCA,dane
19743,SILVIA,CAUCA,dane
19760,SOTARÁ - PAISPAMBA,CAUCA,dane
19780,SUÁREZ,CAUCA,dane
19785,SUCRE,CAUCA,dane
19807,TIMBÍO,CAUCA,dane
19821,TORIBÍO,CAUCA,dane
19824,TOTORÓ,CAUCA,dane
19256,EL TAMBO,CAUCA,dane
19318,GUAPI,CAUCA,dane
19418,LÓPEZ DE MICAY,CAUCA,dane
19809,TIMBIQUÍ,CAUCA,dane
19845,VILLA RICA,CAUCA,dane
76001,CALI,VALLE DEL CAUCA,dane
76036,ANDALUCÍA,VALLE DEL CAUCA,dane
76041,ANSERMANUEVO,VALLE DEL CAUCA,dane
76054,ARGELIA,VALLE DEL CAUCA,dane
76111,GUADALAJARA DE BUGA,VALLE DEL CAUCA,dane
76113,BUGALAGRANDE,VALLE DEL CAUCA,dane
76122,CAICEDONIA,VALLE DEL CAUCA,dane
76126,CALIMA,VALLE DEL CAUCA,dane
76130,CANDELARIA,VALLE DEL CAUCA,dane
76147,CARTAGO,VALLE DEL CAUCA,dane
76243,EL ÁGUILA,VALLE DEL CAUCA,dane
76246,EL CAIRO,VALLE DEL CAUCA,dane
76248,EL CERRITO,VALLE DEL CAUCA,dane
76250,EL DOVIO,VALLE DEL CAUCA,dane
76275,FLORIDA,VALLE DEL CAUCA,dane
76306,GINEBRA,VALLE DEL CAUCA,dane
76318,GUACARÍ,VALLE DEL CAUCA,dane
76020,ALCALÁ,VALLE DEL CAUCA,dane
76497,OBANDO,VALLE DEL CAUCA,dane
76520,PALMIRA,VALLE DEL CAUCA,dane
76563,PRADERA,VALLE DEL CAUCA,dane
76606,RESTREPO,VALLE DEL CAUCA,dane
76616,RIOFRÍO,VALLE DEL CAUCA,dane
76622,ROLDANILLO,VALLE DEL CAUCA,dane
76670,SAN PEDRO,VALLE DEL CAUCA,dane
76736,SEVILLA,VALLE DEL CAUCA,dane
76823,TORO,VALLE DEL CAUCA,dane
76828,TRUJILLO,VALLE DEL CAUCA,dane
76834,TULUÁ,VALLE DEL CAUCA,dane
76845,ULLOA,VALLE DEL CAUCA,dane
76863,VERSALLES,VALLE DEL CAUCA,dane
76869,VIJES,VALLE DEL CAUCA,dane
76890,YOTOCO,VALLE DEL CAUCA,dane
76892,YUMBO,VALLE DEL CAUCA,dane
76895,ZARZAL,VALLE DEL CAUCA,dane
76403,LA VICTORIA,VALLE DEL CAUCA,dane
76400,LA UNIÓN,VALLE DEL CAUCA,dane
76377,LA CUMBRE,VALLE DEL CAUCA,dane
76364,JAMUNDÍ,VALLE DEL CAUCA,dane
76100,BOLÍVAR,VALLE DEL CAUCA,dane
76233,DAGUA,VALLE DEL CAUCA,dane
76109,BUENAVENTURA,VALLE DEL CAUCA,dane
86001,MOCOA,PUTUMAYO,dane
86219,COLÓN,PUTUMAYO,dane
86320,ORITO,PUTUMAYO,dane
86749,SIBUNDOY,PUTUMAYO,dane
86755,SAN FRANCISCO,PUTUMAYO,dane
86757,SAN MIGUEL,PUTUMAYO,dane
86760,SANTIAGO,PUTUMAYO,dane
86865,VALLE DEL GUAMUEZ,PUTUMAYO,dane
86885,VILLAGARZÓN,PUTUMAYO,dane
86569,PUERTO CAICEDO,PUTUMAYO,dane
86568,PUERTO ASÍS,PUTUMAYO,dane
86571,PUERTO GUZMÁN,PUTUMAYO,dane
86573,PUERTO LEGUÍZAMO,PUTUMAYO,dane
52683,SANDONÁ,NARIÑO,dane
52685,SAN BERNARDO,NARIÑO,dane
52687,SAN LORENZO,NARIÑO,dane
52560,POTOSÍ,NARIÑO,dane
52693,SAN PABLO,NARIÑO,dane
52565,PROVIDENCIA,NARIÑO,dane
52694,SAN PEDRO DE CARTAGO,NARIÑO,dane
52573,PUERRES,NARIÑO,dane
52699,SANTACRUZ,NARIÑO,dane
52585,PUPIALES,NARIÑO,dane
52678,SAMANIEGO,NARIÑO,dane
52207,CONSACÁ,NARIÑO,dane
52210,CONTADERO,NARIÑO,dane
52215,CÓRDOBA,NARIÑO,dane
52001,PASTO,NARIÑO,dane
52019,ALBÁN,NARIÑO,dane
52022,ALDANA,NARIÑO,dane
52224,CUASPUD CARLOSAMA,NARIÑO,dane
52036,ANCUYA,NARIÑO,dane
52051,ARBOLEDA,NARIÑO,dane
52083,BELÉN,NARIÑO,dane
52110,BUESACO,NARIÑO,dane
52203,COLÓN,NARIÑO,dane
52480,NARIÑO,NARIÑO,dane
52506,OSPINA,NARIÑO,dane
52720,SAPUYES,NARIÑO,dane
52786,TAMINANGO,NARIÑO,dane
52788,TANGUA,NARIÑO,dane
52240,CHACHAGÜÍ,NARIÑO,dane
52254,EL PEÑOL,NARIÑO,dane
52258,EL TABLÓN DE GÓMEZ,NARIÑO,dane
52838,TÚQUERRES,NARIÑO,dane
52411,LINARES,NARIÑO,dane
52885,YACUANQUER,NARIÑO,dane
52435,MALLAMA,NARIÑO,dane
52378,LA CRUZ,NARIÑO,dane
52381,LA FLORIDA,NARIÑO,dane
52260,EL TAMBO,NARIÑO,dane
52287,FUNES,NARIÑO,dane
52317,GUACHUCAL,NARIÑO,dane
52399,LA UNIÓN,NARIÑO,dane
52320,GUAITARILLA,NARIÑO,dane
52405,LEIVA,NARIÑO,dane
52323,GUALMATÁN,NARIÑO,dane
52352,ILES,NARIÑO,dane
52354,IMUÉS,NARIÑO,dane
52356,IPIALES,NARIÑO,dane
52227,CUMBAL,NARIÑO,dane
52233,CUMBITARA,NARIÑO,dane
52256,EL ROSARIO,NARIÑO,dane
52385,LA LLANADA,NARIÑO,dane
52418,LOS ANDES,NARIÑO,dane
52540,POLICARPA,NARIÑO,dane
52612,RICAURTE,NARIÑO,dane
52079,BARBACOAS,NARIÑO,dane
52250,EL CHARCO,NARIÑO,dane
52390,LA TOLA,NARIÑO,dane
52427,MAGÜÍ,NARIÑO,dane
52473,MOSQUERA,NARIÑO,dane
52490,OLAYA HERRERA,NARIÑO,dane
52520,FRANCISCO PIZARRO,NARIÑO,dane
52621,ROBERTO PAYÁN,NARIÑO,dane
52696,SANTA BÁRBARA,NARIÑO,dane
94001,INÍRIDA,GUAINÍA,dane
94343,BARRANCOMINAS,GUAINÍA,dane
94663,MAPIRIPANA,GUAINÍA,dane
94883,SAN FELIPE,GUAINÍA,dane
94884,PUERTO COLOMBIA,GUAINÍA,dane
94885,LA GUADALUPE,GUAINÍA,dane
94886,CACAHUAL,GUAINÍA,dane
94887,PANA PANA,GUAINÍA,dane
94888,MORICHAL,GUAINÍA,dane
99624,SANTA ROSALÍA,VICHADA,dane
99001,PUERTO CARREÑO,VICHADA,dane
99524,LA PRIMAVERA,VICHADA,dane
99773,CUMARIBO,VICHADA,dane
85001,YOPAL,CASANARE,dane
85010,AGUAZUL,CASANARE,dane
85015,CHÁMEZA,CASANARE,dane
85136,LA SALINA,CASANARE,dane
85139,MANÍ,CASANARE,dane
85162,MONTERREY,CASANARE,dane
85225,NUNCHÍA,CASANARE,dane
85230,OROCUÉ,CASANARE,dane
85263,PORE,CASANARE,dane
85279,RECETOR,CASANARE,dane
85300,SABANALARGA,CASANARE,dane
85315,SÁCAMA,CASANARE,dane
85325,SAN LUIS DE PALENQUE,CASANARE,dane
85400,TÁMARA,CASANARE,dane
85410,TAURAMENA,CASANARE,dane
85430,TRINIDAD,CASANARE,dane
85440,VILLANUEVA,CASANARE,dane
85125,HATO COROZAL,CASANARE,dane
85250,PAZ DE ARIPORO,CASANARE,dane
91001,LETICIA,AMAZONAS,dane
91263,EL ENCANTO,AMAZONAS,dane
91405,LA CHORRERA,AMAZONAS,dane
91407,LA PEDRERA,AMAZONAS,dane
91430,LA VICTORIA,AMAZONAS,dane
91460,MIRITÍ - PARANÁ,AMAZONAS,dane
91530,PUERTO ALEGRÍA,AMAZONAS,dane
91536,PUERTO ARICA,AMAZONAS,dane
91540,PUERTO NARIÑO,AMAZONAS,dane
91669,PUERTO SANTANDER,AMAZONAS,dane
91798,TARAPACÁ,AMAZONAS,dane
97001,MITÚ,VAUPÉS,dane
97161,CARURÚ,VAUPÉS,dane
97511,PACOA,VAUPÉS,dane
97666,TARAIRA,VAUPÉS,dane
97777,PAPUNAHUA,VAUPÉS,dane
97889,YAVARATÉ,VAUPÉS,dane
95001,SAN JOSÉ DEL GUAVIARE,GUAVIARE,dane
95015,CALAMAR,GUAVIARE,dane
95025,EL RETORNO,GUAVIARE,dane
95200,MIRAFLORES,GUAVIARE,dane
17001,MANIZALES,CALDAS,dane
17013,AGUADAS,CALDAS,dane
17486,NEIRA,CALDAS,dane
17446,MARULANDA,CALDAS,dane
17444,MARQUETALIA,CALDAS,dane
17442,MARMATO,CALDAS,dane
17433,MANZANARES,CALDAS,dane
17388,LA MERCED,CALDAS,dane
17380,LA DORADA,CALDAS,dane
17272,FILADELFIA,CALDAS,dane
17174,CHINCHINÁ,CALDAS,dane
17088,BELALCÁZAR,CALDAS,dane
17050,ARANZAZU,CALDAS,dane
17042,ANSERMA,CALDAS,dane
17495,NORCASIA,CALDAS,dane
17877,VITERBO,CALDAS,dane
17873,VILLAMARÍA,CALDAS,dane
17867,VICTORIA,CALDAS,dane
17777,SUPÍA,CALDAS,dane
17665,SAN JOSÉ,CALDAS,dane
17662,SAMANÁ,CALDAS,dane
17653,SALAMINA,CALDAS,dane
17616,RISARALDA,CALDAS,dane
17541,PENSILVANIA,CALDAS,dane
17524,PALESTINA,CALDAS,dane
17513,PÁCORA,CALDAS,dane
17614,RIOSUCIO,CALDAS,dane
63001,ARMENIA,QUINDIO,dane
63111,BUENAVISTA,QUINDIO,dane
63130,CALARCÁ,QUINDIO,dane
63190,CIRCASIA,QUINDIO,dane
63212,CÓRDOBA,QUINDIO,dane
63272,FILANDIA,QUINDIO,dane
63302,GÉNOVA,QUINDIO,dane
63401,LA TEBAIDA,QUINDIO,dane
63470,MONTENEGRO,QUINDIO,dane
63548,PIJAO,QUINDIO,dane
63594,QUIMBAYA,QUINDIO,dane
63690,SALENTO,QUINDIO,dane
66001,PEREIRA,RISARALDA,dane
66045,APÍA,RISARALDA,dane
66075,BALBOA,RISARALDA,dane
66088,BELÉN DE UMBRÍA,RISARALDA,dane
66170,DOSQUEBRADAS,RISARALDA,dane
66318,GUÁTICA,RISARALDA,dane
66383,LA CELIA,RISARALDA,dane
66400,LA VIRGINIA,RISARALDA,dane
66440,MARSELLA,RISARALDA,dane
66456,MISTRATÓ,RISARALDA,dane
66572,PUEBLO RICO,RISARALDA,dane
66594,QUINCHÍA,RISARALDA,dane
66682,SANTA ROSA DE CABAL,RISARALDA,dane
66687,SANTUARIO,RISARALDA,dane
05001,MEDELLÍN,ANTIOQUIA,dane
05101,CIUDAD BOLÍVAR,ANTIOQUIA,dane
05107,BRICEÑO,ANTIOQUIA,dane
05113,BURITICÁ,ANTIOQUIA,dane
05120,CÁCERES,ANTIOQUIA,dane
05093,BETULIA,ANTIOQUIA,dane
05091,BETANIA,ANTIOQUIA,dane
05088,BELLO,ANTIOQUIA,dane
05086,BELMIRA,ANTIOQUIA,dane
05079,BARBOSA,ANTIOQUIA,dane
05059,ARMENIA,ANTIOQUIA,dane
05055,ARGELIA,ANTIOQUIA,dane
05051,ARBOLETES,ANTIOQUIA,dane
05044,ANZÁ,ANTIOQUIA,dane
05042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,dane
05040,ANORÍ,ANTIOQUIA,dane
05038,ANGOSTURA,ANTIOQUIA,dane
05036,ANGELÓPOLIS,ANTIOQUIA,dane
05034,ANDES,ANTIOQUIA,dane
05031,AMALFI,ANTIOQUIA,dane
05030,AMAGÁ,ANTIOQUIA,dane
05021,ALEJANDRÍA,ANTIOQUIA,dane
05004,ABRIAQUÍ,ANTIOQUIA,dane
05002,ABEJORRAL,ANTIOQUIA,dane
05895,ZARAGOZA,ANTIOQUIA,dane
05893,YONDÓ,ANTIOQUIA,dane
05890,YOLOMBÓ,ANTIOQUIA,dane
05887,YARUMAL,ANTIOQUIA,dane
05885,YALÍ,ANTIOQUIA,dane
05861,VENECIA,ANTIOQUIA,dane
05858,VEGACHÍ,ANTIOQUIA,dane
05856,VALPARAÍSO,ANTIOQUIA,dane
05854,VALDIVIA,ANTIOQUIA,dane
05842,URAMITA,ANTIOQUIA,dane
05837,TURBO,ANTIOQUIA,dane
05819,TOLEDO,ANTIOQUIA,dane
05809,TITIRIBÍ,ANTIOQUIA,dane
05792,TARSO,ANTIOQUIA,dane
05790,TARAZÁ,ANTIOQUIA,dane
05789,TÁMESIS,ANTIOQUIA,dane
05761,SOPETRÁN,ANTIOQUIA,dane
05756,SONSÓN,ANTIOQUIA,dane
05736,SEGOVIA,ANTIOQUIA,dane
05697,EL SANTUARIO,ANTIOQUIA,dane
05690,SANTO DOMINGO,ANTIOQUIA,dane
05686,SANTA ROSA DE OSOS,ANTIOQUIA,dane
05679,SANTA BÁRBARA,ANTIOQUIA,dane
05306,GIRALDO,ANTIOQUIA,dane
05282,FREDONIA,ANTIOQUIA,dane
05266,ENVIGADO,ANTIOQUIA,dane
05264,ENTRERRÍOS,ANTIOQUIA,dane
05250,EL BAGRE,ANTIOQUIA,dane
05240,EBÉJICO,ANTIOQUIA,dane
05237,DONMATÍAS,ANTIOQUIA,dane
05212,COPACABANA,ANTIOQUIA,dane
05209,CONCORDIA,ANTIOQUIA,dane
05206,CONCEPCIÓN,ANTIOQUIA,dane
05197,COCORNÁ,ANTIOQUIA,dane
05190,CISNEROS,ANTIOQUIA,dane
05172,CHIGORODÓ,ANTIOQUIA,dane
05154,CAUCASIA,ANTIOQUIA,dane
05150,CAROLINA,ANTIOQUIA,dane
05148,EL CARMEN DE VIBORAL,ANTIOQUIA,dane
05147,CAREPA,ANTIOQUIA,dane
05145,CARAMANTA,ANTIOQUIA,dane
05142,CARACOLÍ,ANTIOQUIA,dane
05138,CAÑASGORDAS,ANTIOQUIA,dane
05134,CAMPAMENTO,ANTIOQUIA,dane
05129,CALDAS,ANTIOQUIA,dane
05125,CAICEDO,ANTIOQUIA,dane
05674,SAN VICENTE FERRER,ANTIOQUIA,dane
05670,SAN ROQUE,ANTIOQUIA,dane
05667,SAN RAFAEL,ANTIOQUIA,dane
05665,SAN PEDRO DE URABÁ,ANTIOQUIA,dane
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,dane
05660,SAN LUIS,ANTIOQUIA,dane
05659,SAN JUAN DE URABÁ,ANTIOQUIA,dane
05658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,dane
05656,SAN JERÓNIMO,ANTIOQUIA,dane
05652,SAN FRANCISCO,ANTIOQUIA,dane
05649,SAN CARLOS,ANTIOQUIA,dane
05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,dane
05642,SALGAR,ANTIOQUIA,dane
05628,SABANALARGA,ANTIOQUIA,dane
05615,RIONEGRO,ANTIOQUIA,dane
05607,RETIRO,ANTIOQUIA,dane
05604,REMEDIOS,ANTIOQUIA,dane
05591,PUERTO TRIUNFO,ANTIOQUIA,dane
05585,PUERTO NARE,ANTIOQUIA,dane
05579,PUERTO BERRÍO,ANTIOQUIA,dane
05576,PUEBLORRICO,ANTIOQUIA,dane
05543,PEQUE,ANTIOQUIA,dane
05541,PEÑOL,ANTIOQUIA,dane
05501,OLAYA,ANTIOQUIA,dane
05495,NECHÍ,ANTIOQUIA,dane
05490,NECOCLÍ,ANTIOQUIA,dane
05483,NARIÑO,ANTIOQUIA,dane
05480,MUTATÁ,ANTIOQUIA,dane
05467,MONTEBELLO,ANTIOQUIA,dane
05440,MARINILLA,ANTIOQUIA,dane
05425,MACEO,ANTIOQUIA,dane
05411,LIBORINA,ANTIOQUIA,dane
05400,LA UNIÓN,ANTIOQUIA,dane
05390,LA PINTADA,ANTIOQUIA,dane
05376,LA CEJA,ANTIOQUIA,dane
05368,JERICÓ,ANTIOQUIA,dane
05364,JARDÍN,ANTIOQUIA,dane
05360,ITAGÜÍ,ANTIOQUIA,dane
05353,HISPANIA,ANTIOQUIA,dane
05347,HELICONIA,ANTIOQUIA,dane
05321,GUATAPÉ,ANTIOQUIA,dane
05318,GUARNE,ANTIOQUIA,dane
05315,GUADALUPE,ANTIOQUIA,dane
05313,GRANADA,ANTIOQUIA,dane
05310,GÓMEZ PLATA,ANTIOQUIA,dane
05308,GIRARDOTA,ANTIOQUIA,dane
05234,DABEIBA,ANTIOQUIA,dane
05284,FRONTINO,ANTIOQUIA,dane
05361,ITUANGO,ANTIOQUIA,dane
05847,URRAO,ANTIOQUIA,dane
05475,MURINDÓ,ANTIOQUIA,dane
05873,VIGÍA DEL FUERTE,ANTIOQUIA,dane
05045,APARTADÓ,ANTIOQUIA,dane
27615,RIOSUCIO,CHOCÓ,dane
27001,QUIBDÓ,CHOCÓ,dane
27006,ACANDÍ,CHOCÓ,dane
27025,ALTO BAUDÓ,CHOCÓ,dane
27050,ATRATO,CHOCÓ,dane
27073,BAGADÓ,CHOCÓ,dane
27075,BAHÍA SOLANO,CHOCÓ,dane
27077,BAJO BAUDÓ,CHOCÓ,dane
27099,BOJAYÁ,CHOCÓ,dane
27135,EL CANTÓN DEL SAN PABLO,CHOCÓ,dane
27150,CARMEN DEL DARIÉN,CHOCÓ,dane
27160,CÉRTEGUI,CHOCÓ,dane
27205,CONDOTO,CHOCÓ,dane
27245,EL CARMEN DE ATRATO,CHOCÓ,dane
27250,EL LITORAL DEL SAN JUAN,CHOCÓ,dane
27361,ISTMINA,CHOCÓ,dane
27372,JURADÓ,CHOCÓ,dane
27413,LLORÓ,CHOCÓ,dane
27425,MEDIO ATRATO,CHOCÓ,dane
27430,MEDIO BAUDÓ,CHOCÓ,dane
27450,MEDIO SAN JUAN,CHOCÓ,dane
27491,NÓVITA,CHOCÓ,dane
27495,NUQUÍ,CHOCÓ,dane
27580,RÍO IRÓ,CHOCÓ,dane
27600,RÍO QUITO,CHOCÓ,dane
27660,SAN JOSÉ DEL PALMAR,CHOCÓ,dane
27745,SIPÍ,CHOCÓ,dane
27787,TADÓ,CHOCÓ,dane
27800,UNGUÍA,CHOCÓ,dane
27810,UNIÓN PANAMERICANA,CHOCÓ,dane
52835,SAN ANDRÉS DE TUMACO,NARIÑO,dane
23001,MONTERÍA,CÓRDOBA,dane
23068,AYAPEL,CÓRDOBA,dane
23079,BUENAVISTA,CÓRDOBA,dane
23090,CANALETE,CÓRDOBA,dane
23162,CERETÉ,CÓRDOBA,dane
23168,CHIMÁ,CÓRDOBA,dane
23182,CHINÚ,CÓRDOBA,dane
23189,CIÉNAGA DE ORO,CÓRDOBA,dane
23300,COTORRA,CÓRDOBA,dane
23350,LA APARTADA,CÓRDOBA,dane
23417,LORICA,CÓRDOBA,dane
23419,LOS CÓRDOBAS,CÓRDOBA,dane
23464,MOMIL,CÓRDOBA,dane
23500,MOÑITOS,CÓRDOBA,dane
23555,PLANETA RICA,CÓRDOBA,dane
23570,PUEBLO NUEVO,CÓRDOBA,dane
23574,PUERTO ESCONDIDO,CÓRDOBA,dane
23586,PURÍSIMA DE LA CONCEPCIÓN,CÓRDOBA,dane
23660,SAHAGÚN,CÓRDOBA,dane
23670,SAN ANDRÉS DE SOTAVENTO,CÓRDOBA,dane
23672,SAN ANTERO,CÓRDOBA,dane
23675,SAN BERNARDO DEL VIENTO,CÓRDOBA,dane
23678,SAN CARLOS,CÓRDOBA,dane
23682,SAN JOSÉ DE URÉ,CÓRDOBA,dane
23686,SAN PELAYO,CÓRDOBA,dane
23815,TUCHÍN,CÓRDOBA,dane
